# data set header
# non-radiated data sets
# energy, error, normalization
1096,  0.05, 1.0

# data set selection
# energy
# data points
#  nu      cross section   stat. error       syst. error
1096.0
 127.0   2.121000E+02   0.000000E+00   0.000000E+00
 128.0   2.064000E+02   0.000000E+00   0.000000E+00
 129.0   2.008000E+02   0.000000E+00   0.000000E+00
 130.0   1.955000E+02   0.000000E+00   0.000000E+00
 131.0   1.903000E+02   0.000000E+00   0.000000E+00
 132.0   1.852000E+02   0.000000E+00   0.000000E+00
 133.0   1.803000E+02   0.000000E+00   0.000000E+00
 134.0   1.755000E+02   0.000000E+00   0.000000E+00
 135.0   1.709000E+02   0.000000E+00   0.000000E+00
 136.0   1.663000E+02   0.000000E+00   0.000000E+00
 137.0   1.623000E+02   0.000000E+00   0.000000E+00
 138.0   1.580000E+02   0.000000E+00   0.000000E+00
 139.0   1.539000E+02   0.000000E+00   0.000000E+00
 140.0   1.499000E+02   0.000000E+00   0.000000E+00
 141.0   1.459000E+02   0.000000E+00   0.000000E+00
 142.0   1.421000E+02   0.000000E+00   0.000000E+00
 143.0   1.384000E+02   0.000000E+00   0.000000E+00
 144.0   1.349000E+02   0.000000E+00   0.000000E+00
 145.0   1.314000E+02   0.000000E+00   0.000000E+00
 146.0   1.280000E+02   0.000000E+00   0.000000E+00
 147.0   1.247000E+02   0.000000E+00   0.000000E+00
 148.0   1.214000E+02   0.000000E+00   0.000000E+00
 149.0   1.183000E+02   0.000000E+00   0.000000E+00
 150.0   1.153000E+02   0.000000E+00   0.000000E+00
 151.0   1.123000E+02   0.000000E+00   0.000000E+00
 152.0   1.095000E+02   0.000000E+00   0.000000E+00
 153.0   1.067000E+02   0.000000E+00   0.000000E+00
 154.0   1.040000E+02   0.000000E+00   0.000000E+00
 155.0   1.014000E+02   0.000000E+00   0.000000E+00
 156.0   9.880000E+01   0.000000E+00   0.000000E+00
 157.0   9.630000E+01   0.000000E+00   0.000000E+00
 158.0   9.390000E+01   0.000000E+00   0.000000E+00
 159.0   9.160000E+01   0.000000E+00   0.000000E+00
 160.0   8.930000E+01   0.000000E+00   0.000000E+00
 161.0   8.710000E+01   0.000000E+00   0.000000E+00
 162.0   8.490000E+01   0.000000E+00   0.000000E+00
 163.0   8.280000E+01   0.000000E+00   0.000000E+00
 164.0   8.080000E+01   0.000000E+00   0.000000E+00
 165.0   7.890000E+01   0.000000E+00   0.000000E+00
 166.0   7.700000E+01   0.000000E+00   0.000000E+00
 167.0   7.510000E+01   0.000000E+00   0.000000E+00
 168.0   7.340000E+01   0.000000E+00   0.000000E+00
 169.0   7.160000E+01   0.000000E+00   0.000000E+00
 170.0   6.990000E+01   0.000000E+00   0.000000E+00
 171.0   6.830000E+01   0.000000E+00   0.000000E+00
 172.0   6.680000E+01   0.000000E+00   0.000000E+00
 173.0   6.530000E+01   0.000000E+00   0.000000E+00
 174.0   6.380000E+01   0.000000E+00   0.000000E+00
 175.0   6.240000E+01   0.000000E+00   0.000000E+00
 176.0   6.100000E+01   0.000000E+00   0.000000E+00
 177.0   5.970000E+01   0.000000E+00   0.000000E+00
 178.0   5.850000E+01   0.000000E+00   0.000000E+00
 179.0   5.730000E+01   0.000000E+00   0.000000E+00
 180.0   5.610000E+01   0.000000E+00   0.000000E+00
 181.0   5.500000E+01   0.000000E+00   0.000000E+00
 182.0   5.390000E+01   0.000000E+00   0.000000E+00
 183.0   5.290000E+01   0.000000E+00   0.000000E+00
 184.0   5.200000E+01   0.000000E+00   0.000000E+00
 185.0   5.100000E+01   0.000000E+00   0.000000E+00
 186.0   5.020000E+01   0.000000E+00   0.000000E+00
 187.0   4.930000E+01   0.000000E+00   0.000000E+00
 188.0   4.850000E+01   0.000000E+00   0.000000E+00
 189.0   4.780000E+01   0.000000E+00   0.000000E+00
 190.0   4.710000E+01   0.000000E+00   0.000000E+00
 191.0   4.640000E+01   0.000000E+00   0.000000E+00
 192.0   4.580000E+01   0.000000E+00   0.000000E+00
 193.0   4.520000E+01   0.000000E+00   0.000000E+00
 194.0   4.470000E+01   0.000000E+00   0.000000E+00
 195.0   4.420000E+01   0.000000E+00   0.000000E+00
 196.0   4.370000E+01   0.000000E+00   0.000000E+00
 197.0   4.330000E+01   0.000000E+00   0.000000E+00
 198.0   4.300000E+01   0.000000E+00   0.000000E+00
 199.0   4.260000E+01   0.000000E+00   0.000000E+00
 200.0   4.230000E+01   0.000000E+00   0.000000E+00
 201.0   4.210000E+01   0.000000E+00   0.000000E+00
 202.0   4.180000E+01   0.000000E+00   0.000000E+00
 203.0   4.170000E+01   0.000000E+00   0.000000E+00
 204.0   4.150000E+01   0.000000E+00   0.000000E+00
 205.0   4.140000E+01   0.000000E+00   0.000000E+00
 206.0   4.140000E+01   0.000000E+00   0.000000E+00
 207.0   4.130000E+01   0.000000E+00   0.000000E+00
 208.0   4.130000E+01   0.000000E+00   0.000000E+00
 209.0   4.140000E+01   0.000000E+00   0.000000E+00
 210.0   4.150000E+01   0.000000E+00   0.000000E+00
 211.0   4.160000E+01   0.000000E+00   0.000000E+00
 212.0   4.170000E+01   0.000000E+00   0.000000E+00
 213.0   4.190000E+01   0.000000E+00   0.000000E+00
 214.0   4.210000E+01   0.000000E+00   0.000000E+00
 215.0   4.230000E+01   0.000000E+00   0.000000E+00
 216.0   4.260000E+01   0.000000E+00   0.000000E+00
 217.0   4.290000E+01   0.000000E+00   0.000000E+00
 218.0   4.330000E+01   0.000000E+00   0.000000E+00
 219.0   4.360000E+01   0.000000E+00   0.000000E+00
 220.0   4.400000E+01   0.000000E+00   0.000000E+00
 221.0   4.450000E+01   0.000000E+00   0.000000E+00
 222.0   4.490000E+01   0.000000E+00   0.000000E+00
 223.0   4.540000E+01   0.000000E+00   0.000000E+00
 224.0   4.590000E+01   0.000000E+00   0.000000E+00
 225.0   4.650000E+01   0.000000E+00   0.000000E+00
 226.0   4.710000E+01   0.000000E+00   0.000000E+00
 227.0   4.770000E+01   0.000000E+00   0.000000E+00
 228.0   4.830000E+01   0.000000E+00   0.000000E+00
 229.0   4.900000E+01   0.000000E+00   0.000000E+00
 230.0   4.960000E+01   0.000000E+00   0.000000E+00
 231.0   5.040000E+01   0.000000E+00   0.000000E+00
 232.0   5.110000E+01   0.000000E+00   0.000000E+00
 233.0   5.190000E+01   0.000000E+00   0.000000E+00
 234.0   5.270000E+01   0.000000E+00   0.000000E+00
 235.0   5.350000E+01   0.000000E+00   0.000000E+00
 236.0   5.440000E+01   0.000000E+00   0.000000E+00
 237.0   5.520000E+01   0.000000E+00   0.000000E+00
 238.0   5.610000E+01   0.000000E+00   0.000000E+00
 239.0   5.710000E+01   0.000000E+00   0.000000E+00
 240.0   5.800000E+01   0.000000E+00   0.000000E+00
 241.0   5.900000E+01   0.000000E+00   0.000000E+00
 242.0   6.000000E+01   0.000000E+00   0.000000E+00
 243.0   6.110000E+01   0.000000E+00   0.000000E+00
 244.0   6.210000E+01   0.000000E+00   0.000000E+00
 245.0   6.320000E+01   0.000000E+00   0.000000E+00
 246.0   6.430000E+01   0.000000E+00   0.000000E+00
 247.0   6.540000E+01   0.000000E+00   0.000000E+00
 248.0   6.660000E+01   0.000000E+00   0.000000E+00
 249.0   6.780000E+01   0.000000E+00   0.000000E+00
 250.0   6.900000E+01   0.000000E+00   0.000000E+00
 251.0   7.020000E+01   0.000000E+00   0.000000E+00
 252.0   7.140000E+01   0.000000E+00   0.000000E+00
 253.0   7.270000E+01   0.000000E+00   0.000000E+00
 254.0   7.400000E+01   0.000000E+00   0.000000E+00
 255.0   7.530000E+01   0.000000E+00   0.000000E+00
 256.0   7.670000E+01   0.000000E+00   0.000000E+00
 257.0   7.810000E+01   0.000000E+00   0.000000E+00
 258.0   7.940000E+01   0.000000E+00   0.000000E+00
 259.0   8.080000E+01   0.000000E+00   0.000000E+00
 260.0   8.230000E+01   0.000000E+00   0.000000E+00
 261.0   8.380000E+01   0.000000E+00   0.000000E+00
 262.0   8.520000E+01   0.000000E+00   0.000000E+00
