#       1      436.73     33.0851     49.9161      12.826
#       3     4580.01     14.4695     75.7113     134.507
#       5     28820.2     47.5237     436.961       846.4
#       7     5842.58     16.0338     90.7472     171.587
#       9      2836.7      10.613     44.7705      83.309
#      11     2500.45      9.9827     39.6177     73.4339
#      13     2410.21     9.77761     38.3284     70.7837
#      15     2286.09      9.4192     36.0865     67.1386
#      17      2293.7      9.4784     36.3253     67.3621
#      19     1136.82     9.53057     36.7806     68.2402
      21     1305.64      9.6718     37.3559     69.2528
      23     1423.75     9.69135     37.3377     68.7763
      25     1471.44     9.45088     35.8586     66.2313
      27      1496.9     9.23373     34.1649     63.0338
      29     1391.49     8.84541     31.7591     58.7062
      31     1293.51     7.86586     29.6732     54.5969
      33     1192.79     6.88423     27.4663     50.4073
      35     1108.49     6.64307     25.5113     46.6996
      37     1025.11     6.37395     23.5684     43.0192
      39      923.47     6.11317     21.6703     39.4237
      41     838.471     5.85501     20.0052     36.3169
      43     743.527     5.57512      18.223     32.9181
      47     613.763     9.00209     15.9298     28.4967
      49     548.671     8.69449      14.694     25.9746
      51     506.904     8.35145     13.5334     25.4186
      53      461.25     8.07071     12.6796     23.6379
      55     425.105     7.83525     11.9472     22.1483
      57     391.445     7.54999     11.1466     20.7348
      59     365.675     7.35065     10.4936     19.5629
      61     346.967     7.19432     10.1358     18.7334
      63     319.042     6.93626     9.49643     17.6216
      65     289.923     6.78924      8.9351     16.4733
      67     283.168     6.65274     8.72448     16.0098
      69      262.67     6.47882     8.18701     15.1255
      71      246.41     6.32864     7.86865     14.4431
      73     223.963     6.09237     7.38391     13.5713
      75     218.986     6.06671     7.18943     13.2345
      77     209.694     6.00232     6.98498     12.7654
      79     195.621     5.78789     6.59601     12.1501
      81     209.166     5.84297     6.70057     12.4256
      83     175.173     5.59835     6.12984     11.2457
      85     160.196     5.46026     5.82876     10.6479
      87     168.027     5.49265     5.88628     10.7486
      89     169.037     5.47443     5.75298     10.6404
      91      159.91     5.33272     5.53009     10.2521
      93      150.07     5.27913     5.36992      9.8421
      95     140.527     5.19083     5.18494     9.44114
      97     148.051     5.17859     5.14666     9.56272
      99       131.3     5.07284     4.88828     8.94108
     101     135.732     5.06886     4.87986     8.98931
     103     127.125     5.00686     4.70651     8.63834
     105     131.525     5.05079      4.7279     8.68563
     107     125.576     4.95248     4.56084     8.41603
     115     104.279     3.08568     4.16262     7.67648
     117      116.03     2.03253     4.19503     7.74922
     119     111.907     2.00623     4.08247     7.55123
     121     113.266     1.99466     4.06681     7.53307
     123     114.146     2.00283     4.05567     7.50022
     125     113.828     1.98042     3.99778     7.43072
     127      105.12     1.94976     3.82567     7.10432
     129     98.2556     1.92097     3.70281     6.83436
     131     101.705     1.91794     3.72148     6.88899
     133     96.9452     1.89499     3.61907     6.69228
     135     95.2327     1.86941     3.57654     6.58887
     137     98.0689     1.86522     3.57088     6.62473
     139     94.4496     1.85817     3.50303     6.46294
     141     87.7766     1.81242     3.35482     6.21506
     143     90.4093     1.81212     3.37499     6.25211
     145     88.8158     1.81298     3.32589     6.15976
     147     83.6517     1.78904     3.23027     5.95808
     149     90.0519     1.80574      3.2979     6.11048
     151     84.7987     1.77159     3.18401     5.91188
     153     85.9056     1.78079      3.1828     5.90802
     155     81.5575     1.77285     3.11023     5.73714
     157     80.9755     1.75637      3.0621     5.68157
     159     78.5102     1.74416     3.03406     5.56833
     161     85.4054      1.7689     3.11125     5.74652
     163     83.3417     1.73753     3.04359      5.6504
     165     80.6053     1.73815     3.00031     5.53368
     167     77.5995      1.7295      2.9397     5.40872
     169     83.5188     1.74142     2.98808     5.55702
     171     74.8941     1.72225      2.8621     5.26395
     173     79.7419     1.72135     2.91611     5.38339
     175     77.1812     1.73691     2.85765     5.27599
     177     83.1979     1.73779     2.94104     5.43122
     179     83.5764      1.7596     2.91145     5.41381
     181     81.2742     1.73622     2.87744     5.31765
     183     81.0768     1.73711     2.86152     5.28594
     185     80.8156     1.72306     2.83563     5.25228
     197     71.6803     1.95922     2.66965      4.7449
     199     80.6048     1.84993      2.7294     4.87272
     201     79.2079     1.85064     2.69929     4.81208
     203     84.0342     1.86529      2.7687     4.93421
     205     81.4973      1.8718     2.72253      4.8401
     207     81.5949     1.85562      2.7182     4.82335
     209     83.8452     1.86464     2.74179     4.86983
     211     82.9415     1.85284     2.71624      4.8257
     213     84.1059     1.85733     2.72178      4.8423
     215     82.5458     1.85516      2.6983      4.7789
     217     89.1704     1.87813     2.76801     4.95586
     219     83.1776     1.84524     2.67897     4.76227
     221     83.1404     1.85992     2.67725     4.74535
     223     82.7555     1.84562     2.66003     4.71822
     225     82.7618     1.83808     2.64446     4.70257
     227     87.6199     1.86605     2.71937     4.82942
     229     88.5458     1.87022     2.72855     4.84078
     231     85.5077      1.8612     2.66925     4.73725
     233     87.2828     1.85684     2.68387     4.77508
     235     89.3805     1.88202     2.71144     4.82237
     237     89.5384     1.86856     2.70121     4.81271
     239     86.2619     1.87225     2.65317     4.70217
     241     87.2437      1.8626     2.65574     4.71805
     243     94.5941     1.88913      2.7452     4.92096
     245     89.1277     1.87552     2.67468     4.74746
     247     91.5121     1.89416     2.71146     4.80453
     249     91.8638     1.89013     2.69286      4.8019
     251      91.537     1.89449     2.69081     4.78056
     253     95.5832     1.92867     2.74769     4.88766
     255     95.4074     1.93203     2.73574     4.87075
     257      94.001      1.9319     2.71329     4.81772
     259     95.3262     1.92845     2.72012      4.8449
     261     93.5015     1.93764     2.68527     4.78064
     269     98.2796     1.88268     2.74166      4.9103
